release_month,release_date,title,product_type
2024-01,2024-01-01,Classic Cotton Tee,T-Shirt
2024-01,2024-01-01,Slim Fit Crew Tee,T-Shirt
2024-01,2024-01-01,Heavyweight Oversized Tee,T-Shirt
2024-01,2024-01-01,Oversized Pullover Hoodie,Hoodie
2024-01,2024-01-01,Denim Jacket,Jacket
2024-01,2024-01-01,Relaxed Fit Chinos,Pants
2024-01,2024-01-01,Canvas Tote Bag,Accessories
2024-01,2024-01-01,Ankle Socks 3-Pack,Socks
2024-01,2024-01-01,Wool Beanie,Hat
2024-03,2024-03-01,Vintage Washed Tee,T-Shirt
2024-03,2024-03-01,Mini Sling Bag,Accessories
2024-03,2024-03-01,Unisex Thermal Long Sleeve Tee,T-Shirt
2024-05,2024-05-10,Minimalist Crewneck Sweatshirt,Sweatshirt
2024-05,2024-05-10,Wide Leg Utility Pants,Pants
2024-05,2024-05-10,Boxy Hoodie,Hoodie
2024-05,2024-05-10,Graphic Print Tee,T-Shirt
2024-06,2024-06-15,Coach Jacket,Jacket
2024-06,2024-06-15,Relaxed Fit Cargo Shorts,Shorts
2024-06,2024-06-15,Loose Fit Tank Top,T-Shirt
2024-06,2024-06-15,5-Panel Street Cap,Hat
2024-09,2024-09-10,Zip-Up Hoodie,Hoodie
2024-09,2024-09-10,Slim Tapered Joggers,Pants
2024-09,2024-09-10,Corduroy Bucket Hat,Hat
2024-09,2024-09-10,Ribbed Crew Socks,Socks
2024-11,2024-11-20,Quilted Bomber Jacket,Jacket
2024-11,2024-11-20,Streetwear Messenger Bag,Accessories
2024-11,2024-11-20,Patterned Dress Socks,Socks
2025-02,2025-02-10,Thermal Hoodie,Hoodie
