title,description,product_type,tags,release_date,discontinued_date,variant_size,variant_color,price,sku,inventory_quantity,variant_id
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XS,White,22,CCT-WH-XS,18,50944337215816
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,S,White,22,CCT-WH-S,71,50944337248584
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,M,White,22,CCT-WH-M,48,50944337281352
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,L,White,22,CCT-WH-L,15,50944337314120
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XL,White,22,CCT-WH-XL,64,50944337346888
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XS,Black,22,CCT-BL-XS,32,50944337379656
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,S,Black,22,CCT-BL-S,31,50944337412424
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,M,Black,22,CCT-BL-M,55,50944337445192
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,L,Black,22,CCT-BL-L,59,50944337477960
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XL,Black,22,CCT-BL-XL,0,50944337510728
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XS,Navy,22,CCT-NA-XS,65,50944337543496
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,S,Navy,22,CCT-NA-S,15,50944337576264
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,M,Navy,22,CCT-NA-M,17,50944337609032
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,L,Navy,22,CCT-NA-L,29,50944337641800
Classic Cotton Tee,Classic Cotton Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"casual, essentials",2024-01-01,,XL,Navy,22,CCT-NA-XL,12,50944337674568
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XS,White,20,SFCT-WH-XS,48,50944337936712
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,S,White,20,SFCT-WH-S,75,50944337969480
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,M,White,20,SFCT-WH-M,57,50944338002248
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,L,White,20,SFCT-WH-L,54,50944338035016
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XL,White,20,SFCT-WH-XL,80,50944338067784
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XS,Black,20,SFCT-BL-XS,61,50944338100552
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,S,Black,20,SFCT-BL-S,76,50944338133320
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,M,Black,20,SFCT-BL-M,18,50944338166088
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,L,Black,20,SFCT-BL-L,5,50944338198856
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XL,Black,20,SFCT-BL-XL,44,50944338231624
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XS,Grey,20,SFCT-GR-XS,80,50944338264392
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,S,Grey,20,SFCT-GR-S,60,50944338297160
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,M,Grey,20,SFCT-GR-M,21,50944338329928
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,L,Grey,20,SFCT-GR-L,7,50944338362696
Slim Fit Crew Tee,Slim Fit Crew Tee from Urban Threads. A versatile piece for all seasons.,T-Shirt,"basics, slim",2024-01-01,,XL,Grey,20,SFCT-GR-XL,21,50944338395464
