date_released,product_name,price,total_sold_in_a_year
2024-01-01,Wool Beanie,20.0,217
2024-03-01,Vintage Washed Tee,25.0,216
2024-03-01,Mini Sling Bag,28.0,127
2024-03-01,Unisex Thermal Long Sleeve Tee,26.0,172
2024-05-10,Minimalist Crewneck Sweatshirt,35.0,166
2024-05-10,Wide Leg Utility Pants,45.0,135
2024-05-10,Boxy Hoodie,60.0,24
2024-05-10,Graphic Print Tee,27.0,53
2024-06-15,Coach Jacket,65.0,23
2024-06-15,Relaxed Fit Cargo Shorts,32.0,36
2024-06-15,Loose Fit Tank Top,18.0,25
2024-06-15,5-Panel Street Cap,18.0,90
2024-09-10,Zip-Up Hoodie,55.0,140
2024-09-10,Slim Tapered Joggers,38.0,114
2024-09-10,Corduroy Bucket Hat,22.0,49
2024-09-10,Ribbed Crew Socks,10.0,65
2024-11-20,Quilted Bomber Jacket,85.0,80
2024-11-20,Streetwear Messenger Bag,32.0,55
2024-11-20,Patterned Dress Socks,14.0,45
2025-02-10,Thermal Hoodie,58.0,32
